id,label,house
AEGON,Aegon,Targaryen
AERYS,Aerys,Targaryen
ALLISER_THORNE,Alliser,Misc
AREO,Areo,Misc
ARYA,Arya,Stark
BARRISTAN,Barristan,Misc
BLACK_HAIRED_PROSTITUTE,Strumpet,Misc
BRAN,Bran,Stark
BRAND,Brand,Misc
BRIAN,Brian,Misc
BRIENNE,Brienne,Misc
BRONN,Bronn,Misc
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
CERWYN,Cerwyn,Misc
DAARIO,Daario,Misc
DAENERYS,Daenerys,Targaryen
DAVOS,Davos,Misc
DENYS,Denys,Misc
DERRYK,Derryk,Misc
DORAN,Doran,Martell
DORNISH_RIDER,Dornish Rider,Misc
EDDISON_TOLLETT,Eddison,Misc
ELLARIA,Ellaria,Misc
FALYSE,Falyse,Misc
GILLY,Gilly,Misc
GRENN,Grenn,Misc
GREY_WORM,Grey Worm,Misc
HIGH_SEPTON,High Septon,Misc
HIGH_SPARROW,High Sparrow,Misc
HIZDAHR,Hizdahr,Misc
JAIME,Jaime,Lannister
JANOS,Janos,Misc
JAQEN,Jaqen,Misc
JEOR,Jeor,Misc
JOFFREY,Joffrey,Baratheon
JON,Jon,Stark
JORAH,Jorah,Misc
KARSI,Karsi,Misc
KEVAN,Kevan,Lannister
LANCEL,Lancel,Lannister
LITTLE_SAM,Little Sam,Misc
LITTLEFINGER,Petyr,Misc
LOBODA,Loboda,Misc
LOLLYS,Lollys,Misc
LORAS,Loras,Tyrell
LORD_OF_BONES,Lord of Bones,Misc
LORD_WEEBLY,Lord Weebly,Misc
LYANNA,Lynanna,Stark
LYANNA_MORMONT,Lyanna Mormont,Misc
LYSA,Lysa,Arryn
MACE,Mace,Tyrell
MADAME,Madame,Misc
MAESTER_AEMON,Aemon,Targaryen
MAGGY,Maggy,Misc
MAGNAR,Magnar,Misc
MALKO,Malko,Misc
MANCE,Mance,Misc
MARGAERY,Margaery,Tyrell
MELARA,Melara,Misc
MELISANDRE,Melisandre,Misc
MERYN_TRANT,Meryn,Misc
MISSANDEI,Missandei,Misc
MOSSADOR,Mossador,Misc
MOUNTAIN,Mountain,Misc
MYRANDA,Myranda,Misc
MYRCELLA,Myrcella,Baratheon
NED,Ned,Stark
NIGHT_KING,Night King,Misc
NYMERIA,Nymeria,Misc
OBARA,Obara,Martell
OBERYN,Oberyn,Martell
OLENNA,Olenna,Tyrell
OLLY,Olly,Misc
OLYVAR,Olyvar,Misc
OWNER,Owner,Misc
PODRICK,Podrick,Misc
PYCELLE,Pycelle,Misc
PYP,Pyp,Misc
QUICK,Quick,Misc
QYBURN,Qyburn,Misc
RAMSAY,Ramsay,Misc
RANDYLL,Randyll,Misc
RENLY,Renly,Baratheon
RHAEGAR,Rhaegar,Targaryen
RHAENYRA,Rhaenyra,Targaryen
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBERT,Robert,Baratheon
ROBIN,Robin,Arryn
ROOSE_BOLTON,Roose,Misc
ROYCE,Royce,Misc
SAM,Sam,Misc
SANSA,Sansa,Stark
SELWYN,Selwyn,Misc
SELYSE,Selyse,Baratheon
SEPTA_UNELLA,Septa Unella,Misc
SHAE,Shae,Misc
SHIREEN,Shireen,Baratheon
STANNIS,Stannis,Baratheon
STRONG,Strong,Misc
TANDA,Tanda,Misc
THEON,Theon,Greyjoy
THIN_MAN,Thin Man,Misc
TOMMEN,Tommen,Baratheon
TORMUND,Tormund,Misc
TRYSTANE,Trystane,Martell
TYCHO,Tycho,Misc
TYENE,Tyene,Martell
TYRION,Tyrion,Lannister
TYWIN,Tywin,Lannister
VARYS,Varys,Misc
WAIF,Waif,Misc
WALDA,Walda,Misc
WALDER,Walder,Misc
WOLKAN,Wolkan,Misc
OTHELL_YARWYCK,Othell,Misc
ROYCE,Yohn,Misc
